year,metric,value,forecast
2019,Inbound visitors,9.466,False
2019,Outbound residents,11.309,False
2019,Total Australia spend,153.82,False
2020,Inbound visitors,1.828,False
2020,Outbound residents,2.832,False
2020,Total Australia spend,92.89,False
2021,Inbound visitors,0.246,False
2021,Outbound residents,0.301,False
2021,Total Australia spend,104.92,False
2022,Inbound visitors,3.694,False
2022,Outbound residents,5.226,False
2022,Total Australia spend,166.43,False
2023,Inbound visitors,7.187,False
2023,Outbound residents,9.975,False
2023,Total Australia spend,182.58,False
2024,Inbound visitors,8.271,False
2024,Outbound residents,11.596,False
2024,Total Australia spend,184.37,False
2025,Inbound visitors,8.805,True
2025,Outbound residents,12.551,True
2025,Total Australia spend,191.6,True
2026,Inbound visitors,9.266,True
2026,Outbound residents,13.179,True
2026,Total Australia spend,191.37,True
2027,Inbound visitors,9.748,True
2027,Outbound residents,13.693,True
2027,Total Australia spend,194.33,True
2028,Inbound visitors,10.157,True
2028,Outbound residents,14.131,True
2028,Total Australia spend,197.89,True
2029,Inbound visitors,10.523,True
2029,Outbound residents,14.512,True
2029,Total Australia spend,200.93,True
2030,Inbound visitors,10.883,True
2030,Outbound residents,14.861,True
2030,Total Australia spend,203.54,True
