year,state,trips,type
2019,NSW,39061.2,actual
2019,VIC,31171.0,actual
2019,QLD,24741.5,actual
2019,SA,7107.8,actual
2019,WA,8740.8,actual
2019,TAS,2587.8,actual
2019,NT,808.1,actual
2019,ACT,2358.0,actual
2020,NSW,29959.1,actual
2020,VIC,19360.5,actual
2020,QLD,19966.9,actual
2020,SA,6097.2,actual
2020,WA,8107.4,actual
2020,TAS,2046.3,actual
2020,NT,443.6,actual
2020,ACT,1498.2,actual
2021,NSW,28169.3,actual
2021,VIC,23198.6,actual
2021,QLD,22986.8,actual
2021,SA,7129.7,actual
2021,WA,9276.5,actual
2021,TAS,2592.4,actual
2021,NT,675.7,actual
2021,ACT,1454.4,actual
2022,NSW,37973.3,actual
2022,VIC,30541.6,actual
2022,QLD,25793.1,actual
2022,SA,7621.9,actual
2022,WA,9507.0,actual
2022,TAS,2897.9,actual
2022,NT,910.9,actual
2022,ACT,2288.8,actual
2023,NSW,39613.2,actual
2023,VIC,31138.3,actual
2023,QLD,26255.6,actual
2023,SA,7749.5,actual
2023,WA,9705.7,actual
2023,TAS,2941.5,actual
2023,NT,808.0,actual
2023,ACT,2262.0,actual
2024,NSW,39380.4,actual
2024,VIC,31288.0,actual
2024,QLD,25902.1,actual
2024,SA,7898.0,actual
2024,WA,9729.5,actual
2024,TAS,2986.2,actual
2024,NT,843.9,actual
2024,ACT,2244.3,actual
2025,NSW,39229.6,forecast
2025,VIC,31403.2,forecast
2025,QLD,25996.1,forecast
2025,SA,7824.7,forecast
2025,WA,9968.0,forecast
2025,TAS,2991.3,forecast
2025,NT,1001.8,forecast
2025,ACT,2238.4,forecast
2026,NSW,39751.5,forecast
2026,VIC,31695.7,forecast
2026,QLD,26498.0,forecast
2026,SA,7889.4,forecast
2026,WA,10120.2,forecast
2026,TAS,3022.2,forecast
2026,NT,1015.2,forecast
2026,ACT,2263.9,forecast
2027,NSW,40395.5,forecast
2027,VIC,32177.0,forecast
2027,QLD,26953.6,forecast
2027,SA,8003.5,forecast
2027,WA,10314.5,forecast
2027,TAS,3062.4,forecast
2027,NT,1031.2,forecast
2027,ACT,2299.7,forecast
2028,NSW,41208.0,forecast
2028,VIC,32887.4,forecast
2028,QLD,27521.5,forecast
2028,SA,8147.5,forecast
2028,WA,10533.2,forecast
2028,TAS,3114.4,forecast
2028,NT,1052.1,forecast
2028,ACT,2346.7,forecast
2029,NSW,41924.8,forecast
2029,VIC,33526.4,forecast
2029,QLD,28028.4,forecast
2029,SA,8273.8,forecast
2029,WA,10726.3,forecast
2029,TAS,3159.4,forecast
2029,NT,1070.5,forecast
2029,ACT,2386.9,forecast
2030,NSW,42566.1,forecast
2030,VIC,34105.2,forecast
2030,QLD,28485.6,forecast
2030,SA,8383.9,forecast
2030,WA,10901.2,forecast
2030,TAS,3198.6,forecast
2030,NT,1087.1,forecast
2030,ACT,2423.9,forecast
