country,region,trips_2025,nights_2025,spend_2025,trips_change_pct,nights_change_pct,spend_change_pct
New Zealand,Oceania,1302.84,15401.64,2410.11,3.44,4.03,16.78
Japan,Asia,385.18,14561.72,1616.68,6.46,12.61,12.67
Hong Kong,Asia,228.16,6735.94,1127.79,14.79,28.34,29.13
Singapore,Asia,385.64,5949.23,1122.30,6.92,9.25,3.12
Malaysia,Asia,193.58,5274.46,704.85,5.40,-0.34,2.88
Indonesia,Asia,217.91,9531.28,976.20,7.96,-7.82,-2.19
Taiwan,Asia,174.95,9514.76,977.80,17.17,-3.41,8.29
Thailand,Asia,91.24,6063.64,459.88,1.70,17.77,0.68
Vietnam,Asia,153.87,7961.11,906.39,-4.11,22.02,8.79
Philippines,Asia,179.35,10901.43,607.70,9.17,0.41,1.04
Korea,Asia,362.55,9377.05,1444.62,5.92,-15.04,-8.05
China,Asia,974.39,53413.95,11246.27,17.54,18.54,39.44
India,Asia,429.17,28355.20,1834.79,1.95,-1.64,10.52
Other Asia,Asia,217.16,15965.20,1282.45,6.70,9.87,7.09
United States of America,Americas,696.95,12103.84,2396.43,4.21,0.34,20.27
Canada,Americas,160.76,5100.67,664.63,4.21,13.20,19.86
United Kingdom,Europe,720.91,28128.26,2870.21,19.22,28.69,30.76
Germany,Europe,169.41,5741.18,685.24,6.34,-7.60,11.91
Scandinavia,Europe,86.41,3066.45,375.34,4.95,-8.36,20.22
France,Europe,138.58,11342.26,924.50,13.75,21.64,35.87
Italy,Europe,74.22,5006.72,401.39,16.90,0.26,15.22
Netherlands,Europe,51.98,1703.38,214.88,7.58,-0.46,10.76
Switzerland,Europe,43.57,1552.00,261.54,7.19,13.60,31.15
Other Europe,Europe,292.19,13050.66,1409.54,13.81,-6.10,21.58
Other Countries,Other,541.38,26874.54,2269.81,6.63,-9.87,1.77
